Abbreviation,Season,Team,Skating Speed,Skating Speed,Skating Speed,Skating Speed,Skating Speed,Skating Speed,,Distance (above average),Distance (above average),Distance (above average),,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,,Zone Time,Zone Time,Zone Time,Zone Time,Zone Time,Zone Time,,Zone Time,Zone Time,Zone Time,Zone Time,,Zone Efficiency,Zone Efficiency,Zone Efficiency,Zone Efficiency,Zone Efficiency,,,Shot Locations (BTN),Shot Locations (BTN),Shot Locations (BTN),Shot Locations (Net),Shot Locations (Net),Shot Locations (Net),Shot Locations (Net),Shot Locations (Slot),Shot Locations (Slot),Shot Locations (Slot),Shot Locations (Point),Shot Locations (Point),Shot Locations (Point),Shot Locations (Flank),Shot Locations (Flank),Shot Locations (NZ),,Goal Locations (BTN),Goal Locations (BTN),Goal Locations (BTN),Goal Locations (Net),Goal Locations (Net),Goal Locations (Net),Goal Locations (Net),Goal Locations (Slot),Goal Locations (Slot),Goal Locations (Slot),Goal Locations (Point),Goal Locations (Point),Goal Locations (Point),Goal Locations (Flank),Goal Locations (Flank),Goal Locations (NZ)
Abbreviation,Season,Team,22+,20+,18+,22+ per 60,20+ per 60,18+ per 60,,ES,PP,PK,,Average,90+,80+,70+,90+ per 60,80+ per 60,70+ per 60,90+ %,80+ %,70+ %,,ES OZ%,ES NZ%,ES DZ%,OZ%,PPOZ%,PK DZ%,,OZ time,DZ time,PPOZ time,PKDZ time,,OZE,DZE,ZE%,PPZE,PKZE,,TOI,L,C,R,L,CREASE,FRONT,R,L,C,R,L,C,R,L,R,NZ,,L,C,R,L,CREASE,FRONT,R,L,C,R,L,C,R,L,R,NZ
DET,21-22,Detroit Red Wings,43,1297,6290,0.5,15.6,75.8,,-0.2,0.2,-0.2,,52,50,390,918,0.6,4.7,11.1,1.2%,9.3%,21.9%,,39.1%,18.3%,42.6%,47.9%,58.1%,60.2%,,1617,1762,222,221,,6.1,6.6,48.4%,11.9,13.2,,4982.1,4,14,4,80,62,625,94,192,254,180,181,167,189,121,112,79,,1,1,0,6,15,86,6,24,36,20,3,10,5,3,6,4
EDM,21-22,Edmonton Oilers,190,2425,7966,2.3,29.2,96.0,,-0.0,-0.1,0.0,,45,109,521,1103,1.3,6.3,13.3,2.2%,10.5%,22.2%,,43.1%,18.4%,38.5%,52.8%,61.3%,59.1%,,1771,1582,229,242,,6.5,6.7,49.6%,16.3,14.2,,4979.2,0,10,3,80,76,774,103,228,258,218,191,241,224,131,130,50,,0,4,0,7,17,139,13,15,34,22,6,8,4,4,9,0
FLA,21-22,Florida Panthers,67,1618,7986,0.8,19.5,96.1,,0.0,0.1,0.3,,42,113,530,1259,1.4,6.4,15.2,2.1%,9.9%,23.4%,,43.5%,19.8%,36.7%,54.2%,57.4%,53.8%,,1765,1489,237,227,,7.6,6.9,52.3%,12.9,13.5,,4984.2,3,13,4,53,56,880,92,294,345,301,245,207,218,107,106,53,,0,4,0,6,17,161,10,25,44,24,5,14,9,3,9,1
L.A,21-22,Los Angeles Kings,103,1753,7651,1.2,21.1,92.0,,0.0,-0.2,0.2,,49,85,566,1152,1.0,6.8,13.8,1.7%,11.1%,22.6%,,40.7%,18.5%,40.8%,49.9%,60.0%,57.2%,,1674,1678,253,213,,6.8,6.1,54.2%,12.7,13.7,,4992.2,5,9,0,78,46,720,75,277,283,227,237,181,235,182,182,64,,0,0,0,0,10,118,4,24,24,13,2,6,11,7,4,5
MIN,21-22,Minnesota Wild,54,1329,7059,0.6,16.0,84.8,,-0.2,-0.2,-0.4,,48,64,526,1051,0.8,6.3,12.6,1.4%,11.1%,22.2%,,41.0%,18.8%,40.2%,50.5%,59.1%,60.2%,,1640,1608,249,261,,5.9,5.3,50.5%,12.1,12.5,,4996.6,2,2,2,61,42,657,68,253,348,219,194,215,179,167,143,64,,0,0,1,5,9,137,9,19,61,17,4,11,10,4,11,1
MTL,21-22,Montreal Canadiens,65,1923,8099,0.8,23.2,97.7,,0.1,0.4,0.3,,45,105,506,890,1.3,6.1,10.7,2.4%,11.7%,20.5%,,38.5%,18.8%,42.6%,47.5%,54.7%,57.9%,,1565,1731,222,250,,6.3,6.9,49.4%,11.7,14.5,,4972.2,6,22,2,65,31,618,67,240,213,214,193,160,178,130,160,57,,0,1,0,3,6,103,5,18,22,24,6,5,7,4,10,2
N.J,21-22,New Jersey Devils,76,1787,7910,0.9,21.5,95.3,,0.0,-0.1,-0.2,,49,84,443,1054,1.0,5.3,12.7,1.8%,9.4%,22.3%,,39.7%,19.1%,41.2%,49.1%,54.5%,56.2%,,1656,1718,203,191,,6.6,6.2,51.5%,10.2,11.6,,4978.5,1,8,1,44,25,660,67,268,298,263,227,179,200,120,102,36,,0,1,1,5,9,132,5,17,38,24,7,7,6,1,1,3
NSH,21-22,Nashville Predators,21,1160,6645,0.3,14.0,80.1,,-0.1,0.0,-0.2,,35,120,483,857,1.4,5.8,10.3,2.7%,10.7%,19.0%,,41.1%,18.2%,40.6%,50.3%,55.5%,60.3%,,1645,1625,223,273,,5.7,5.8,49.4%,12.6,13.8,,4977.4,6,10,3,58,17,627,68,221,278,255,172,201,183,111,126,61,,0,0,0,4,4,134,4,19,23,22,6,11,2,4,7,1
NYI,21-22,New York Islanders,28,1253,6275,0.3,15.1,75.8,,0.5,0.4,0.4,,17,107,431,876,1.3,5.2,10.6,2.5%,10.2%,20.6%,,39.7%,18.5%,41.8%,48.7%,58.2%,58.7%,,1655,1743,200,209,,6.1,6.4,47.3%,12.3,11.3,,4970.2,2,8,1,53,61,650,85,191,275,190,163,208,202,73,89,47,,0,0,0,3,7,107,7,19,33,15,5,9,10,4,4,1
NYR,21-22,New York Rangers,111,1800,7472,1.3,21.7,90.2,,0.3,0.3,0.2,,50,82,449,902,1.0,5.4,10.9,1.9%,10.5%,21.1%,,41.1%,18.3%,40.5%,50.4%,61.5%,58.1%,,1708,1683,209,218,,5.7,6.2,46.9%,13.7,12.4,,4970.8,0,6,5,57,36,715,72,216,236,151,183,150,202,124,133,52,,0,0,0,4,9,136,7,17,26,12,5,12,7,5,3,2
